JYCSM-WB-104	Rajapur Computer Academy	Buddhadeb Khanra	Rajapur,Jonka,Udaynarayanpur,711226	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-105	Prime Study Academy	Sovan Mukherjee	Rupnarayanpur,713364	Paschim Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-106	Universal Computer Network	Bhabatosh Pal	Bolpur,Bandhgora,731204	Birbhum	West Bengal	All Type Of Computer Courses
JYCSM-WB-107	Jamtala Jatiya Yuva Computer Shaksharta Mission	Sk Ali Ahamed	Jamtala Chawk Main Road,Ajodhyanagar,721150	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-108	TECHS	Susanta Bera	Ashanda,Dihibhursut,Udaynarayanpur,712408	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-109	Saha Multimedia Centre (SMC)	Joydeb Saha	Palta,Nabapally,743122	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-110	Smart Solution Inc	Bibhash Maitra	Nalagola,Bamangola,733124	Malda	West Bengal	All Type Of Computer Courses
JYCSM-AS-111	Shining Computer & IT Institute	Tazim Uddin	Kalacherra New Market,Kalacherra,Chantilla,Sribhumi,788736	Karimganj	Assam	All Type Of Computer Courses
JYCSM-WB-112	One Stop Solution Training Academy	Rahul Sengupta.	54/3/1,Andul Road. Ground Floor.Danesh Sekh Lane,711109	Howrah	West Bengal	All Type Of Computer & Vocational Courses
JYCSM-WB-113	Singot Jatiya Yuva Computer Academy	Bappa Dalui	Singot,Mathrun,Mongalkote,713132	Purba Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-114	Santipur Jatiya Yuva Computer Shaksharta Mission	Sourav Das	Sutragarh,Santipur	Nadia	West Bengal	All Type Of Computer Courses
